epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.73347,1.68096,2.47101,1.79874,0.33763,0.2726,0.26432,0.10977,1.9255,2.2133,1.98286,0.000198519,0.000198519,0.0803467
2,11.752,1.56387,1.81991,1.72194,0.51978,0.47013,0.48241,0.2009,1.83316,1.77686,1.92324,0.000394573,0.000394573,0.0605427
3,16.8309,1.547,1.72491,1.71797,0.63567,0.58107,0.63326,0.26538,1.73191,1.58046,1.80398,0.000586668,0.000586668,0.0407348
4,21.8857,1.53038,1.65218,1.69298,0.61654,0.67884,0.70153,0.34714,1.66622,1.36352,1.79913,0.000774803,0.000774803,0.020923
5,26.9107,1.53339,1.6295,1.6805,0.54141,0.55022,0.55937,0.28089,1.70091,1.61353,1.79268,0.000958977,0.000958977,0.00110713
6,31.8975,1.51182,1.61445,1.67273,0.62277,0.72228,0.67015,0.30289,1.67923,1.30423,1.769,0.0009505,0.0009505,0.0009505
7,36.887,1.51456,1.58405,1.67072,0.73888,0.67953,0.76374,0.37939,1.66832,1.2852,1.73613,0.0009406,0.0009406,0.0009406
8,41.8691,1.47005,1.54454,1.64175,0.66126,0.77265,0.7812,0.42769,1.47786,1.17035,1.59731,0.0009307,0.0009307,0.0009307
9,46.8702,1.43189,1.46584,1.61574,0.74998,0.732,0.79796,0.45137,1.42101,1.20035,1.55937,0.0009208,0.0009208,0.0009208
10,51.8364,1.42083,1.45828,1.60102,0.69505,0.81294,0.82822,0.43252,1.56153,1.18797,1.68534,0.0009109,0.0009109,0.0009109
11,56.8356,1.4057,1.44279,1.59485,0.66276,0.78134,0.81505,0.48483,1.38385,1.17166,1.54494,0.000901,0.000901,0.000901
12,61.8097,1.38491,1.36819,1.57623,0.77,0.84376,0.85907,0.50604,1.44079,0.99579,1.5711,0.0008911,0.0008911,0.0008911
13,66.8357,1.38434,1.35274,1.57121,0.72736,0.8148,0.83909,0.50076,1.36717,1.05875,1.49768,0.0008812,0.0008812,0.0008812
14,71.8188,1.34878,1.31843,1.54842,0.76313,0.81442,0.86845,0.52721,1.3032,0.94222,1.45778,0.0008713,0.0008713,0.0008713
15,76.8038,1.35453,1.34107,1.55907,0.70089,0.81749,0.83725,0.49752,1.35943,1.02843,1.52298,0.0008614,0.0008614,0.0008614
16,81.7964,1.33391,1.31635,1.53802,0.83618,0.81583,0.90456,0.55743,1.32811,0.95615,1.46409,0.0008515,0.0008515,0.0008515
17,86.7823,1.31112,1.26569,1.51476,0.71609,0.84789,0.87187,0.53569,1.33092,0.95849,1.47179,0.0008416,0.0008416,0.0008416
18,91.7803,1.33085,1.27636,1.55028,0.81696,0.80521,0.87303,0.53955,1.34814,0.94249,1.48334,0.0008317,0.0008317,0.0008317
19,96.7379,1.29752,1.23873,1.50426,0.79495,0.86754,0.87756,0.54087,1.32864,0.90145,1.45771,0.0008218,0.0008218,0.0008218
20,101.717,1.29009,1.20969,1.49858,0.79307,0.89146,0.91209,0.589,1.27818,0.85968,1.42033,0.0008119,0.0008119,0.0008119
21,106.7,1.29105,1.21918,1.49406,0.82608,0.88591,0.91186,0.57012,1.27048,0.88609,1.43574,0.000802,0.000802,0.000802
22,111.682,1.27047,1.20287,1.49311,0.85771,0.85507,0.91845,0.58174,1.28831,0.83783,1.41854,0.0007921,0.0007921,0.0007921
23,116.657,1.28645,1.1919,1.49685,0.76058,0.84833,0.89199,0.554,1.29119,0.86884,1.43011,0.0007822,0.0007822,0.0007822
24,121.656,1.27009,1.17327,1.48197,0.82001,0.88184,0.92069,0.59671,1.25609,0.83071,1.40373,0.0007723,0.0007723,0.0007723
25,126.637,1.27384,1.17245,1.47959,0.86823,0.85715,0.92202,0.57334,1.32339,0.81228,1.43114,0.0007624,0.0007624,0.0007624
26,131.617,1.2522,1.14701,1.47496,0.82889,0.88278,0.93176,0.61683,1.20104,0.79113,1.37172,0.0007525,0.0007525,0.0007525
27,136.607,1.24345,1.15495,1.47812,0.79984,0.90393,0.90708,0.58449,1.21429,0.82007,1.38089,0.0007426,0.0007426,0.0007426
28,141.594,1.24679,1.14394,1.46072,0.7937,0.89067,0.8979,0.58577,1.24222,0.82947,1.41662,0.0007327,0.0007327,0.0007327
29,146.581,1.24851,1.14645,1.47,0.82092,0.85282,0.90707,0.59003,1.25066,0.82302,1.38817,0.0007228,0.0007228,0.0007228
